label(tooltip),count,tip
,0,늑대는 한달 동안 최대 3마리 까지 나올 수 있습니다.
,1,교배로 새로운 가축들을 얻어보세요!
,2,질병에 걸리게 되면 가축들이 우유를 만들어내는 속도가 줄어듭니다.
,3,메뉴 - 업그레이드에서 목장의 다양한 시설물을 향상시키세요.
,4,친구와 서로 하트를 주고 받으세요!
,5,친구의 가축이 좋을수록 더 많은 교배 하트와 우정 포인트를 받을 수 있습니다.
,6,주택을 향상시키면 저장할 수 있는 건초의 수량이 늘어납니다.
,7,질병에 걸리셨다면 치료제를 사용하세요.
,8,겨울에는 생산량이 감소합니다. 촉진제를 사용하세요!
,9,일부 촉진제는 신선도를 올려줍니다.
,10,손이 바쁘세요? 일꾼을 사용하면 더 쉽게 게임을 풀어나갈 수 있습니다.
,11,일꾼과 촉진제를 함께 사용하면 더 많은 우유를 채집할 수 있습니다.
,12,아이템을 아끼지 마세요!
,13,가축에게 건초를 주지 않으면 우유를 생산하지 않습니다.
,14,높은 등급의 가축일 수록 많은 먹이를 먹습니다. 먹보라고 미워하진 마세요^^;
,15,건초는 항상 넉넉하게 비축해두세요.
,16,미처 목장에서 살리지 못한 가축은 가축 병원에서 확인할 수 있습니다.
,17,가축 병원은 공간이 무한정이지 않아요. 되살리고 싶은 가축은 빨리 되살리세요~
,18,목장에 좋은 가축을 많이 배치할수록 더욱 신선한 우유를 빠르게 생산합니다.
,19,가축이 너무 많아 관리하기 힘들다면 보관함으로 넣어두세요.
,20,필요없는 가축이 너무 많은가요? 과감하게 판매하세요.
,21,경작지에서는 건초뿐 아니라 교배용 하트와 치료제` 촉진제도 얻을 수 있습니다.
,22,프리미엄 교배에서는 더욱 멋진 가축을 얻을 수 있어요!
,23,목장 착유기를 업그레이드 하면 더 빨리 우유를 얻을 수 있습니다.
,24,우유 탱크를 업그레이드 하면 상인에게 판매할 우유를 더 많이 모을 수 있습니다.
,25,양동이를 업그레이드 하면 우유 탱크에 자주 왔다갔다하지 않아도 되요.
,26,주입기를 업그레이드 할 수록 우유 탱크 터치 횟수 숫자가 줄어들어 시간을 아낄 수 있습니다.
,27,정화시설(변경예정)을 업그레이드 하면 가축들이 병에 걸릴 확률이 줄어들어요!
,28,품질향상 시설을 향상시키면 저장된 우유의 신선도가 증가합니다.
,29,가을에 우유 생산속도가 가장 빨라져요. 일꾼을 함께 사용하면 더 많은 우유를 모을 수 있습니다.
,30,항상 사냥총에 여분의 총알을 준비해두세요.
,31,늑대가 나타나면 상점에 들어갈 수 없어요! 평소에 총알을 꼭 준비하세요.
,32,늑대는 여러 종류가 있어요. 강한 늑대는 강력한 총알로 쫓아버리세요.
,33,상인의 요구조건을 맞춰주지 못하면 거래 금액이 반감되요.
,34,상인의 요구조건보다 많은 양을 판매하면 거래 금액이 더 증가됩니다.
,35,꾸준히 상인의 요구조건을 만족시켜주면 상금이 주어집니다. 연속으로 상금을 받을 수록 상금이 증가되요!
,36,피버모드에서는 마구마구 소를 터치하세요! 터치할 때 마다 떨어지는 코인은 보너스~
,37,액세서리를 사용해서 소의 능력을 올려줄 수 있어요.
,38,가축의 능력치가 보기 복잡하세요? 큰 별이 많은 가축일 수록 좋은 가축이랍니다.
,39,명성도는 상인의 요구 조건을 만족시키는 거래를 진행할 시 향상됩니다.
,40,상인의 요구조건을 만족시키지 못하면 명성도가 떨어집니다.
,41,명성도를 올릴수록 더 많은 목장의 기능을 사용할 수 있어요.
